Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,246
Apurímac Region,≤100
Arequipa Region,233
Ayacucho Region,≤100
Cajamarca Region,232
Callao,≤100
Cusco Region,193
Huancavelica Region,≤100
Huánuco Region,110
Ica Region,168
Junín Region,159
La Libertad Region,350
Lambayeque Region,219
Lima Region,1661
Loreto Region,316
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,287
Puno Region,180
San Martín Region,121
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
