Location name,Amount spent (CZK)
Central Bohemian Region,11888
Hradec Králové Region,4420
Karlovy Vary Region,2411
Liberec Region,3592
Moravian-Silesian Region,9386
Olomouc Region,5497
Pardubice Region,6044
Plzeň Region,5942
Prague,23135
South Bohemian Region,5084
South Moravian Region,11540
Unknown,≤100
Vysočina Region,3887
Zlín Region,5148
Ústí nad Labem Region,7168
