Location name,Amount spent (EGP)
Al Sharqia Governorate,6271
Alexandria Governorate,8078
Aswan Governorate,1113
Asyut Governorate,2362
Beheira Governorate,3478
Beni Suef Governorate,1467
Cairo Governorate,17380
Dakahlia Governorate,7140
Damietta Governorate,1932
Faiyum Governorate,1560
Gharbia Governorate,4931
Giza Governorate,4583
Ismailia Governorate,1545
Kafr el-Sheikh Governorate,2813
Luxor Governorate,711
Matrouh Governorate,355
Minya Governorate,2644
Monufia Governorate,3710
New Valley Governorate,279
North Sinai Governorate,491
Port Said Governorate,1093
Qalyubia Governorate,4191
Qena Governorate,1663
Red Sea Governorate,710
Sohag Governorate,2530
South Sinai Governorate,261
Suez Governorate,999
Unknown,≤100
