Location name,Amount spent (USD)
Aragatsotn Province,≤100
Ararat Province,≤100
Armavir Province,≤100
Gegharkunik Province,≤100
Kotayk Province,≤100
Lori Province,≤100
Shirak Province,177
Syunik Province,177
Tavush Province,≤100
Vayots Dzor Province,≤100
Yerevan,≤100
