Location name,Amount spent (PKR)
Azad Kashmir,606
Balochistan,1538
Federally Administered Tribal Areas,165
Gilgit-Baltistan,668
Islamabad Capital Territory,2863
Khyber Pakhtunkhwa,6132
Punjab,34354
Sindh,14640
Unknown,≤100
