Location name,Amount spent (EUR)
Alsace,739
Aquitaine,1688
Auvergne,467
Basse-Normandie,504
Bourgogne,579
Bretagne,1245
Centre,936
Champagne-Ardenne,495
Corse,198
Franche-Comté,381
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,675
Languedoc-Roussillon,1707
Limousin,319
Lorraine,950
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1387
New Caledonia,≤100
Nord-Pas-de-Calais,1605
Pays de la Loire,1285
Picardie,720
Poitou-Charentes,805
Provence-Alpes-Côte d'Azur,2793
Reunion Island,≤100
Rhône-Alpes,3051
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4901
