Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,694
Cerro Largo Department,≤100
Colonia Department,120
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,165
Montevideo Department,1565
Paysandú Department,123
Rivera Department,679
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,191
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
