Location name,Amount spent (NOK)
Akershus,4049
Aust-Agder,522
Buskerud,1667
Finnmark,372
Hedmark,941
Hordaland,2915
Møre og Romsdal,1300
Nord-Trøndelag,793
Nordland,1242
Oppland,879
Oslo,8392
Rogaland,2542
Sogn og Fjordane,528
Sør-Trøndelag,2200
Telemark,997
Troms,993
Unknown,≤100
Vest-Agder,1228
Vestfold,1699
Østfold,1696
