Location name,Amount spent (LBP)
Beirut Governorate,2862108
Beqaa Governorate,825264
Mount Lebanon Governorate,1744513
Nabatieh Governorate,375940
North Governorate,1278195
South Governorate,567970
Unknown,≤100
