Location name,Amount spent (RON)
Alba County,2847
Arad County,914
Argeș County,1219
Bacău County,1610
Bihor County,1300
Bistrița-Năsăud County,638
Botoșani County,739
Brașov County,1428
Brăila County,608
Bucharest,7128
Buzău County,792
Caraș-Severin County,504
Cluj County,2157
Constanța County,1958
Covasna County,388
Călărași County,451
Dolj County,1756
Dâmbovița County,932
Galați County,1098
Giurgiu County,1164
Gorj County,672
Harghita County,626
Hunedoara County,920
Ialomița County,362
Iași County,2194
Ilfov County,1013
Maramureș County,1164
Mehedinți County,421
Mureș County,1384
Neamț County,1134
Olt County,534
Prahova County,1496
Satu Mare County,771
Sibiu County,967
Suceava County,1288
Sălaj County,641
Teleorman County,392
Timiș County,1722
Tulcea County,462
Unknown,≤100
Vaslui County,574
Vrancea County,560
Vâlcea County,971
