Location name,Amount spent (EGP)
Al Sharqia Governorate,5410
Alexandria Governorate,6339
Aswan Governorate,959
Asyut Governorate,2087
Beheira Governorate,3204
Beni Suef Governorate,1569
Cairo Governorate,13887
Dakahlia Governorate,6380
Damietta Governorate,1687
Faiyum Governorate,1740
Gharbia Governorate,4290
Giza Governorate,4045
Ismailia Governorate,1223
Kafr el-Sheikh Governorate,2627
Luxor Governorate,643
Matrouh Governorate,275
Minya Governorate,2427
Monufia Governorate,3285
New Valley Governorate,272
North Sinai Governorate,451
Port Said Governorate,982
Qalyubia Governorate,3414
Qena Governorate,1559
Red Sea Governorate,570
Sohag Governorate,2411
South Sinai Governorate,213
Suez Governorate,745
Unknown,≤100
