Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
100771226087265,Susie's Tips,Susie's Tips,12897,15
408582579294175,UK government,UK Government,8132,27
102639461303190,Fair Pay For All,Fair Pay For All,7158,193
6233536938,War Child UK,War Child UK,6578,27
311627208673,WWF UK,WWF UK,4082,74
9250349228,Greenpeace UK,Greenpeace UK,3404,192
7715002593,UNICEF UK,Unicef UK,2895,6
10677003998,Shelter,Shelter,2378,492
10499876484,Compassion in World Farming,Compassion in World Farming,2338,114
348366988862054,Oxfam Campaigns,Oxfam Great Britain,2052,13
799576543492660,The Week Junior,The Week Junior,1912,56
8807334278,Conservatives,The Conservative Party,1847,44
104259838288065,Independent Monitoring Authority,Independent Monitoring Authority,1779,12
7624294394,Amnesty International UK,Amnesty International UK,1617,38
841894835830532,Electoral Commission UK,Electoral Commission UK,1576,23
105325515394672,Local Recovery,Local Recovery,1486,41
260012884055691,Metropolitan Police Service,Metropolitan Police Service,1240,65
13047522725,Crimestoppers,Crimestoppers,1153,104
514212165305248,Leigh Day,Leigh Day,1148,63
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),1092,61
158077247591710,Refuge,Refuge,1056,65
483680375497477,Shell Energy,Shell Energy Retail Limited,1042,20
54779960819,United Nations,United Nations with Facebook Ad Credits,1028,2
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,1004,14
7527864602,WaterAid UK,WaterAid UK,955,39
208573062515662,Freedom from Torture,Freedom from Torture,946,128
7043497714,Christian Aid,Christian Aid,944,17
10114144851,NSPCC,NSPCC,930,14
1046117708754519,Care4Calais,Care4Calais,928,39
165099760197787,Welsh Government,Welsh Government,908,345
35671512696,World Animal Protection UK,World Animal Protection UK,877,41
121936349543,World Vision UK,World Vision UK,870,45
19895907944,CAFOD,CAFOD,861,55
103662352102391,Family Debt Help,Ian Keith Parsons,810,12
1613092172114946,DWP Digital,Department for Work and Pensions,802,6
97116898596,Sightsavers,Sightsavers,787,60
139695000173,Good Energy,Good Energy,746,28
47612991154,Dignity in Dying,Dignity in Dying,668,30
59367068326,The Ramblers,The Ramblers,629,16
26698813123,British Red Cross,British Red Cross,580,15
177855115588808,The Week UK,The Week UK,577,22
143837658998810,WWT,Wildfowl and Wetlands Trust,559,24
117476785190,Save the Children UK,Save the Children UK,539,14
101602743218479,Stop It Now! UK and Ireland,"Stop It Now! UK and Ireland, The Lucy Faithfull Foundation",536,7
103458012300068,Renters' Reform Coalition,Renters Reform Coalition,502,3
108951391565231,Help to Heat,Huw John Llewellyn,483,12
18044497940,Plan International UK,Plan International UK,481,40
104677264773039,We Eat Balanced,Agriculture and Horticulture Development Board,471,3
103359739162746,The News Agents,The News Agents,462,18
192492137520412,HETAS,HETAS,458,2
394936823930287,Age International,Age International,431,2
1660600037490738,Guardian Labs,Guardian Labs,430,16
220543443746,International Rescue Committee - UK,International Rescue Committee UK,430,31
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,415,12
159100234275780,UK Government Scotland,Office of the Secretary of State for Scotland,407,3
195754307110390,Right To Life UK,Right To Life UK,392,4
18168505158,The Woodland Trust,Woodland Trust,391,41
25749647410,The Labour Party,The Labour Party,386,575
442816382865338,Social Security Scotland,Social Security Scotland,338,8
358126247463,Speech and Language UK,Speech and Language UK,333,3
248887561894779,Home Energy Scotland,Home Energy Scotland,324,2
112712550420527,Ekō UK,SumOfUs,324,1
210786739051667,Woodland Trust Cymru,Woodland Trust,320,8
107310464728068,Britain Remade,BRM Futures Limited,317,6
274651352565844,Oltco Ltd,Oltco Ltd,313,117
1160491283986885,Parent Club Scotland,Parent Club Scotland,312,12
40409120801,Refugee Council,Andrea Corinaldesi,309,8
13695746395,Guide Dogs UK,Guide Dogs,303,17
169042736456594,All Out,All Out,302,14
569834799727730,National Grid UK,National Grid UK,296,10
7214031395,Oxfam Great Britain,Oxfam Great Britain,295,21
103156819362655,Essex Violence and Vulnerability Unit,Essex VVU,294,14
2047806148766050,Animal Equality UK,Animal Equality UK,292,1
109602554296513,Your Funded Energy Solution,Huw John Llewellyn,287,7
401847960644025,Extinction Rebellion UK,Extinction Rebellion,285,58
18366996074,War on Want,War on Want,270,19
101958682650112,ESG UK,Energy Saving Grants,258,60
249209468838241,Good Law Project,Good Law Project,257,32
490007667679401,Hugh James,Hugh James,252,4
320344981331677,Net Zero Scotland,The Scottish Government,219,3
138007436233900,Public Health Agency,Public Health Agency,218,7
