Location name,Amount spent (MXN)
Aguascalientes,4842
Baja California,20509
Baja California Sur,5627
Campeche,6915
Chiapas,9046
Chihuahua,17534
Coahuila de Zaragoza,23432
Colima,5025
Distrito Federal,63668
Durango,4414
Guanajuato,16662
Guerrero,6017
Hidalgo,8882
Jalisco,213857
Michoacán de Ocampo,23816
Morelos,8620
Nayarit,2216
Nuevo León,30160
Oaxaca,8066
Puebla,16764
Querétaro Arteaga,7790
Quintana Roo,4278
San Luis Potosi,14302
Sinaloa,7221
Sonora,8834
State of Mexico,141720
Tabasco,4935
Tamaulipas,18184
Tlaxcala,3250
Unknown,≤100
Veracruz,20121
Yucatán,15387
Zacatecas,3152
