Location name,Amount spent (LBP)
Beirut Governorate,3051816
Beqaa Governorate,1041672
Mount Lebanon Governorate,1659060
Nabatieh Governorate,480628
North Governorate,1657494
South Governorate,701493
Unknown,≤100
