Location name,Amount spent (ISK)
Capital Region,37153
Eastern Region,1956
Northeastern Region,4120
Northwestern Region,772
Southern Peninsula,2906
Southern Region,3805
Unknown,≤100
Western Region,1054
Westfjords,1020
