Location name,Amount spent (KES)
Central Province,≤100
Coast Province,101
Eastern Province,≤100
Nairobi,622
North Eastern Province,≤100
Nyanza Province,≤100
Rift Valley Province,172
Unknown,≤100
Western Province,≤100
