Location name,Amount spent (EUR)
Alsace,490
Aquitaine,1030
Auvergne,312
Basse-Normandie,340
Bourgogne,437
Bretagne,828
Centre,600
Champagne-Ardenne,348
Corse,122
Franche-Comté,265
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,449
Languedoc-Roussillon,1048
Limousin,177
Lorraine,645
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,847
New Caledonia,≤100
Nord-Pas-de-Calais,924
Pays de la Loire,845
Picardie,484
Poitou-Charentes,460
Provence-Alpes-Côte d'Azur,2087
Reunion Island,≤100
Rhône-Alpes,1906
Unknown,≤100
Île-de-France,3832
