Location name,Amount spent (PLN)
Greater Poland Voivodeship,7092
Kuyavian-Pomeranian Voivodeship,4107
Lesser Poland Voivodeship,6451
Lower Silesian Voivodeship,5421
Lublin Voivodeship,2675
Lubusz Voivodeship,1818
Masovian Voivodeship,12972
Opole Voivodeship,1261
Podkarpackie Voivodeship,2450
Podlaskie Voivodeship,1435
Pomeranian Voivodeship,4491
Silesian Voivodeship,6707
Unknown,≤100
Warmian-Masurian Voivodeship,1920
West Pomeranian Voivodeship,2700
Łódź Voivodeship,4207
Świętokrzyskie Voivodeship,1524
