Location name,Amount spent (MYR)
Johor,240
Kedah,164
Kelantan,135
Kuala Lumpur,424
Labuan,≤100
Malacca,≤100
Negeri Sembilan,168
Pahang,204
Penang,115
Perak,188
Perlis,≤100
Putrajaya,≤100
Sabah,196
Sarawak,164
Selangor,751
Terengganu,138
Unknown,≤100
