Location name,Amount spent (ARS)
Buenos Aires,1803676
Catamarca,14930
Chaco,143178
Chubut,52696
Ciudad Autónoma de Buenos Aires,439869
Corrientes,64669
Córdoba,2881775
Entre Rios,120814
Formosa,22880
Jujuy,195063
La Pampa,376093
La Rioja,140670
Mendoza,281265
Misiones,290993
Neuquén,50139
Río Negro,46886
Salta,707493
San Juan,545753
San Luis,161308
Santa Cruz,22541
Santa Fe,406293
Santiago del Estero,22232
Tierra del Fuego,270788
Tucuman,175942
Unknown,116
