Location name,Amount spent (NGN)
Abia State,83235
Adamawa State,38677
Akwa Ibom State,41105
Anambra State,51801
Bauchi State,22967
Bayelsa State,8217
Benué State,36546
Borno State,30783
Cross River State,17828
Delta State,75580
Ebonyi State,10811
Edo State,47020
Ekiti State,11754
Enugu State,61298
Federal Capital Territory,188140
Gombe State,30057
Imo State,65472
Jigawa State,8700
Kaduna State,129190
Kano State,204750
Katsina State,30604
Kebbi State,8296
Kogi State,25987
Kwara State,41021
Lagos State,413050
Nasarawa State,17971
Niger State,30294
Ogun State,27075
Ondo State,22336
Osun State,25724
Oyo State,93500
Plateau State,100234
Rivers State,100921
Sokoto State,25756
Taraba State,20253
Unknown,230
Yobe State,11643
Zamfara State,10725
