Location name,Amount spent (AUD)
Australian Capital Territory,1368
Jervis Bay Territory,≤100
New South Wales,63282
Norfolk Island,≤100
Northern Territory,589
Queensland,10779
South Australia,3678
Tasmania,1752
Unknown,≤100
Victoria,12654
Western Australia,5484
