Location name,Amount spent (HUF)
Baranya County,188613
Borsod-Abaúj-Zemplén County,285904
Budapest,1264664
Bács-Kiskun County,246670
Békés County,166332
Csongrád County,216418
Fejér County,197392
Győr-Moson-Sopron County,212070
Hajdú-Bihar County,253038
Heves County,139009
Jász-Nagykun-Szolnok County,178112
Komárom-Esztergom County,151260
Nógrád County,82092
Pest County,570131
Somogy County,129558
Szabolcs-Szatmár-Bereg County,230405
Tolna County,103518
Unknown,≤100
Vas County,114305
Veszprém County,150551
Zala County,121495
