Location name,Amount spent (HTG)
Artibonite Department,≤100
Grand'Anse Department,≤100
Nord Department,≤100
Nord-Est Department,≤100
Nord-Ouest Department,≤100
Ouest Department,≤100
Sud Department,≤100
