Location name,Amount spent (CAD)
Alberta,7368
British Columbia,8348
Manitoba,3573
New Brunswick,1119
Newfoundland and Labrador,980
Northwest Territories,≤100
Nova Scotia,1186
Nunavut,≤100
Ontario,18775
Prince Edward Island,542
Quebec,13416
Saskatchewan,3019
Unknown,≤100
Yukon,≤100
