Location name,Amount spent (MYR)
Johor,461
Kedah,265
Kelantan,313
Kuala Lumpur,620
Labuan,≤100
Malacca,168
Negeri Sembilan,157
Pahang,192
Penang,226
Perak,260
Perlis,≤100
Putrajaya,≤100
Sabah,338
Sarawak,219
Selangor,1174
Terengganu,198
Unknown,≤100
