Location name,Amount spent (AUD)
Australian Capital Territory,1026
Jervis Bay Territory,≤100
New South Wales,10594
Northern Territory,223
Queensland,6489
South Australia,2096
Tasmania,778
Unknown,≤100
Victoria,6258
Western Australia,3189
