Location name,Amount spent (AUD)
Australian Capital Territory,845
Jervis Bay Territory,≤100
New South Wales,18497
Northern Territory,495
Queensland,12571
South Australia,5063
Tasmania,1296
Unknown,≤100
Victoria,17518
Western Australia,5988
