Location name,Amount spent (ZAR)
Eastern Cape,1008
Free State,562
Gauteng,5473
KwaZulu-Natal,1320
Limpopo,609
Mpumalanga,693
North West,555
Northern Cape,213
Unknown,≤100
Western Cape,8391
