Location name,Amount spent (DKK)
Capital Region of Denmark,43041
Central Denmark Region,18962
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7565
Region of Southern Denmark,15784
Unknown,≤100
Zealand Region,19365
