Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,543
Bangkok,12795
Bueng Kan,≤100
Buriram,292
Chachoengsao,255
Chai Nat,≤100
Chaiyaphum,187
Chanthaburi,149
Chiang Mai,963
Chiang Rai,475
Chon Buri,596
Chumphon,326
Kalasin,184
Kamphaeng Phet,153
Kanchanaburi,247
Khon Kaen,427
Krabi,282
Lampang,229
Lamphun,125
Loei,127
Lop Buri,156
Mae Hong Son,≤100
Maha Sarakham,203
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,400
Nakhon Phanom,147
Nakhon Ratchasima,709
Nakhon Sawan,299
Nakhon Si Thammarat,2225
Nan,130
Narathiwat,249
Nong Bua Lam Phu,≤100
Nong Khai,117
Nonthaburi,686
Pathum Thani,554
Pattani,372
Phangnga,183
Phatthalung,500
Phayao,158
Phetchabun,192
Phetchaburi,1191
Phichit,341
Phitsanulok,2905
Phrae,130
Phuket,2271
Prachin Buri,142
Prachuap Khiri Khan,469
Ranong,107
Ratchaburi,309
Rayong,274
Roi Et,234
Sa Kaeo,101
Sakon Nakhon,245
Samut Prakan,499
Samut Sakhon,366
Samut Songkhram,≤100
Saraburi,178
Satun,248
Sing Buri,≤100
Sisaket,252
Songkhla,2576
Sukhothai,161
Suphan Buri,321
Surat Thani,5118
Surin,839
Tak,189
Trang,468
Trat,≤100
Ubon Ratchathani,443
Udon Thani,326
Unknown,≤100
Uthai Thani,≤100
Uttaradit,103
Yala Province,250
Yasothon,117
