Location name,Amount spent (BRL)
Acre (state),706
Alagoas,2067
Amapá,1091
Amazonas,4097
Bahia,9536
Ceará,9137
Espírito Santo,3754
Federal District,5540
Goiás,8617
Maranhão,4135
Mato Grosso,5269
Mato Grosso do Sul,3823
Minas Gerais,29371
Paraná,15130
Paraíba,2813
Pará,6188
Pernambuco,7374
Piauí,2064
Rio Grande do Norte,2968
Rio Grande do Sul,15407
Rio de Janeiro (state),17555
Rondônia,4213
Roraima,740
Santa Catarina,10140
Sergipe,2163
São Paulo (state),59276
Tocantins,1474
Unknown,≤100
