Location name,Amount spent (MYR)
Johor,316
Kedah,152
Kelantan,103
Kuala Lumpur,1195
Labuan,≤100
Malacca,≤100
Negeri Sembilan,124
Pahang,145
Penang,127
Perak,188
Perlis,≤100
Putrajaya,≤100
Sabah,167
Sarawak,144
Selangor,2067
Terengganu,≤100
Unknown,≤100
