Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
737169626371453,Heimildin,Stundin,49791,7
623887187646891,Bókamarkaðurinn,These ads ran without a disclaimer,29719,1
103123311914005,Elva Hrönn Hjartardóttir,Elva Hrönn Hjartardóttir,12559,13
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Árni Guðmundsson,8974,2
152804904889,Samfylkingin,Samfylkingin,5641,2
423451321043674,Vinstrihreyfingin - grænt framboð,Vinstrihreyfingin - grænt framboð,5002,8
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,4381,3
156161194561570,Kjarninn,Kjarninn,4117,1
128854307193614,Landsvirkjun,Landsvirkjun,1583,1
622220361283956,Samorka,Samorka,1421,1
108295544832396,Jóhann Páll Jóhannsson,Jóhann Páll Jóhannsson,1403,1
102133046017049,Evrópuhreyfingin,Evrópuhreyfingin,1341,1
357896717565932,Jóhanna Gunnarsdóttir í stjórn VR 2023,Jóhanna Gunnarsdóttir í stjórn VR 2023,1309,2
106979180938014,Samstöðin,Samstöðin ehf,1158,1
263095547109656,Sjálfstæðisfélag Garðabæjar,Sjálfstæðisflokkurinn,1144,1
154893001218870,ADHD samtökin,ADHD samtökin,1031,3
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,992,1
823788047675556,Call of War,These ads ran without a disclaimer,914,2
41445084925,Röskva - stúdentahreyfing,Röskva - stúdentahreyfing,837,1
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,780,1
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,647,3
105986171646268,Diljá Mist,Diljá Einarsdóttir,611,1
509866436098947,Sabine Leskopf,Sabine Leskopf,479,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,457,1
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,378,1
19746387261,Humane Society International,These ads ran without a disclaimer,144,9
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
845039715506074,Anything Canada,These ads ran without a disclaimer,≤100,1
328734170817962,Milda Sabiene - Holistic Coach,These ads ran without a disclaimer,≤100,2
114908574874457,Green Roots,These ads ran without a disclaimer,≤100,4
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
423670114403144,Trending in China,These ads ran without a disclaimer,≤100,1
185999151456481,Somatic Experiencing International,These ads ran without a disclaimer,≤100,1
