Location name,Amount spent (RON)
Alba County,741
Arad County,831
Argeș County,1279
Bacău County,877
Bihor County,1279
Bistrița-Năsăud County,596
Botoșani County,471
Brașov County,1404
Brăila County,471
Bucharest,4150
Buzău County,638
Caraș-Severin County,497
Cluj County,1735
Constanța County,1289
Covasna County,487
Călărași County,454
Dolj County,1008
Dâmbovița County,688
Galați County,845
Giurgiu County,467
Gorj County,809
Harghita County,835
Hunedoara County,878
Ialomița County,311
Iași County,3356
Ilfov County,1001
Maramureș County,772
Mehedinți County,500
Mureș County,1316
Neamț County,1378
Olt County,450
Prahova County,1294
Satu Mare County,597
Sibiu County,879
Suceava County,933
Sălaj County,375
Teleorman County,365
Timiș County,2118
Tulcea County,299
Unknown,≤100
Vaslui County,476
Vrancea County,719
Vâlcea County,621
