Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,19507,3
1697191247176676,Diego Miranda Méndez,Diego Miranda Méndez,6952,2
265843867173714,La Revista,La Revista,3868,3
399929296730642,Consejo Nacional de Cooperativas,Jonathan Ureña Vargas,3631,1
216239121726959,Mandaguevo,Mandaguevo,3436,1
100248039454311,Mi Canton Digital,Mi Canton Digital,3224,1
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,2769,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,2356,2
100508562815254,Juan Diego González Picado,Juan Diego González Picado,1626,1
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1165,1
1359136157453700,Bere Ramos,These ads ran without a disclaimer,765,6
2006883116083469,Cristopher Montero Jiménez,Cristopher Montero Jimenez,343,1
595261557162890,Esperanza y Renovación Fundación FANER,These ads ran without a disclaimer,282,1
494354027360929,Dirección de Educación Continua Pontificia Universidad Javeriana Bogotá,These ads ran without a disclaimer,≤100,1
107358737810334,Loros Sin Fronteras,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
105900552270698,Sofia Adara,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
120460525135389,Educational Partners International,These ads ran without a disclaimer,≤100,1
946133165540703,Expediente Público,These ads ran without a disclaimer,≤100,1
423609701387941,Peachbruh,These ads ran without a disclaimer,≤100,1
