Location name,Amount spent (RON)
Alba County,711
Arad County,1183
Argeș County,1237
Bacău County,1226
Bihor County,1420
Bistrița-Năsăud County,670
Botoșani County,672
Brașov County,1553
Brăila County,524
Bucharest,6138
Buzău County,716
Caraș-Severin County,481
Cluj County,1923
Constanța County,1582
Covasna County,489
Călărași County,419
Dolj County,1229
Dâmbovița County,860
Galați County,982
Giurgiu County,389
Gorj County,659
Harghita County,625
Hunedoara County,864
Ialomița County,388
Iași County,2627
Ilfov County,973
Maramureș County,937
Mehedinți County,414
Mureș County,1370
Neamț County,932
Olt County,641
Prahova County,1693
Satu Mare County,742
Sibiu County,982
Suceava County,1371
Sălaj County,425
Teleorman County,583
Timiș County,2036
Tulcea County,402
Unknown,≤100
Vaslui County,581
Vrancea County,640
Vâlcea County,603
