Location name,Amount spent (INR)
Andaman and Nicobar Islands,188
Andhra Pradesh,43668
Arunachal Pradesh,1011
Assam,19992
Bihar,76145
Chandigarh,2225
Chhattisgarh,50532
Dadra and Nagar Haveli,1506
Delhi,40040
Goa,1569
Gujarat,58164
Haryana,40720
Himachal Pradesh,17201
Jammu and Kashmir,8456
Jharkhand,20813
Karnataka,102138
Kerala,21234
Lakshadweep,≤100
Madhya Pradesh,55138
Maharashtra,143022
Manipur,1631
Meghalaya,101481
Mizoram,739
Nagaland,788
Odisha,15904
Puducherry,1862
Punjab region,33806
Rajasthan,171774
Sikkim,1163
Tamil Nadu,34197
Telangana,33321
Tripura,7786
Unknown,≤100
Uttar Pradesh,119120
Uttarakhand,16522
West Bengal,56823
