Location name,Amount spent (NZD)
Auckland Region,3058
Bay of Plenty Region,747
Canterbury,1451
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,518
Manawatu-Wanganui,610
Marlborough Region,≤100
Nelson Province,155
Niue,≤100
Northland Region,360
Otago,540
Southland,197
Taranaki,249
Tasman District,≤100
Unknown,≤100
Waikato,950
Wellington Region,1191
West Coast,≤100
