Location name,Amount spent (PYG)
Alto Paraguay Department,24321
Alto Paraná Department,285618
Amambay Department,13257
Asunción,318852
Boquerón department,38448
Caaguazú Department,41276
Caazapá Department,3698
Canindeyú Department,18982
Central Department,1461640
Concepción Department (Paraguay),20748
Cordillera Department,32872
Guairá Department,14939
Itapúa Department,40300
Misiones Department,76806
Paraguarí Department,14888
Presidente Hayes Department,18884
San Pedro Department,15462
Unknown,≤100
Ñeembucú Department,16447
