Location name,Amount spent (IDR)
Aceh,999701
Bali,842952
Bangka–Belitung Islands,84837
Banten,988841
Bengkulu,311309
Central Java,3312318
Central Kalimantan,333523
Central Sulawesi,539433
East Java,4266594
East Kalimantan,876224
East Nusa Tenggara,865606
Gorontalo,340315
Jakarta,1766896
Jambi,1014185
Lampung,1456632
Maluku,194671
North Kalimantan,87459
North Maluku,169702
North Sulawesi,715548
North Sumatra,3596980
Papua (province),316909
Riau,2045877
Riau Islands Province,387551
South Kalimantan,476380
South Sulawesi,4228955
South Sumatra,1836705
Southeast Sulawesi,489532
Special Region of Yogyakarta,666291
Unknown,414
West Java,4251396
West Kalimantan,795185
West Nusa Tenggara,731621
West Papua,171351
West Sulawesi,119180
West Sumatra,722427
