Location name,Amount spent (CAD)
Alberta,3286
British Columbia,5312
Manitoba,1637
New Brunswick,680
Newfoundland and Labrador,244
Northwest Territories,≤100
Nova Scotia,709
Nunavut,≤100
Ontario,9736
Prince Edward Island,≤100
Quebec,5416
Saskatchewan,805
Unknown,≤100
Yukon,≤100
