Location name,Amount spent (COP)
Amazonas,1067
Antioquia,6231061
Arauca,7514
Atlantico,143099
Bolivar,242160
Boyaca,214373
Caldas,38240
Caqueta,51335
Casanare,37574
Cauca,145610
Cesar,33061
Choco,16409
Cordoba,78396
Cundinamarca,234983
Distrito Especial,5369564
Guainia,557
Guaviare,1695
Huila,407271
La Guajira,17374
Magdalena,52271
Meta,111086
Narino,46993
Norte de Santander,190243
Putumayo,137748
Quindio,31164
Risaralda,177880
San Andres y Providencia,3136
Santander,403395
Sucre,33926
Tolima,84587
Unknown,≤100
Valle del Cauca,1845460
Vaupes,451
Vichada,522
