Location name,Amount spent (SEK)
Blekinge County,6999
Dalarna County,14069
Gotland County,3660
Gävleborg County,15059
Halland County,15646
Jämtland County,6831
Jönköping County,16543
Kalmar County,10674
Kronoberg County,8653
Norrbotten County,13003
Skåne County,64221
Stockholm County,120019
Södermanland County,14580
Unknown,≤100
Uppsala County,19114
Värmland County,12997
Västerbotten County,12960
Västernorrland County,12442
Västmanland County,13037
Västra Götaland County,99967
Örebro County,15132
Östergötland County,20988
