Location name,Amount spent (NOK)
Akershus,3022
Aust-Agder,558
Buskerud,1445
Finnmark,501
Hedmark,1022
Hordaland,2719
Møre og Romsdal,1514
Nord-Trøndelag,770
Nordland,1449
Oppland,1025
Oslo,5314
Rogaland,2189
Sogn og Fjordane,615
Sør-Trøndelag,1749
Telemark,842
Troms,1119
Unknown,≤100
Vest-Agder,1003
Vestfold,1315
Østfold,1599
