Location name,Amount spent (PLN)
Greater Poland Voivodeship,5425
Kuyavian-Pomeranian Voivodeship,5061
Lesser Poland Voivodeship,4573
Lower Silesian Voivodeship,5908
Lublin Voivodeship,2927
Lubusz Voivodeship,1600
Masovian Voivodeship,11650
Opole Voivodeship,1798
Podkarpackie Voivodeship,2256
Podlaskie Voivodeship,1677
Pomeranian Voivodeship,4507
Silesian Voivodeship,6855
Unknown,≤100
Warmian-Masurian Voivodeship,2779
West Pomeranian Voivodeship,3995
Łódź Voivodeship,6942
Świętokrzyskie Voivodeship,1301
