Location name,Amount spent (ISK)
Capital Region,34310
Eastern Region,4121
Northeastern Region,33357
Northwestern Region,3721
Southern Peninsula,3485
Southern Region,6301
Unknown,≤100
Western Region,12968
Westfjords,3069
