Location name,Amount spent (PLN)
Greater Poland Voivodeship,4969
Kuyavian-Pomeranian Voivodeship,2811
Lesser Poland Voivodeship,5198
Lower Silesian Voivodeship,4087
Lublin Voivodeship,2266
Lubusz Voivodeship,1208
Masovian Voivodeship,8084
Opole Voivodeship,1383
Podkarpackie Voivodeship,2059
Podlaskie Voivodeship,1314
Pomeranian Voivodeship,3245
Silesian Voivodeship,6073
Unknown,≤100
Warmian-Masurian Voivodeship,1685
West Pomeranian Voivodeship,2873
Łódź Voivodeship,3260
Świętokrzyskie Voivodeship,1220
