Location name,Amount spent (PKR)
Azad Kashmir,1742
Balochistan,3455
Federally Administered Tribal Areas,526
Gilgit-Baltistan,1198
Islamabad Capital Territory,5029
Khyber Pakhtunkhwa,16964
Punjab,74135
Sindh,127330
Unknown,≤100
