Location name,Amount spent (CAD)
Alberta,7744
British Columbia,14249
Manitoba,2364
New Brunswick,955
Newfoundland and Labrador,245
Northwest Territories,≤100
Nova Scotia,1214
Nunavut,≤100
Ontario,15763
Prince Edward Island,≤100
Quebec,10200
Saskatchewan,1389
Unknown,≤100
Yukon,125
