Location name,Amount spent (ZAR)
Eastern Cape,929
Free State,657
Gauteng,3054
KwaZulu-Natal,1532
Limpopo,558
Mpumalanga,522
North West,867
Northern Cape,223
Unknown,≤100
Western Cape,6385
