Location name,Amount spent (MXN)
Aguascalientes,9547
Baja California,23777
Baja California Sur,5095
Campeche,10415
Chiapas,15506
Chihuahua,47924
Coahuila de Zaragoza,45582
Colima,13135
Distrito Federal,134764
Durango,7058
Guanajuato,63400
Guerrero,12285
Hidalgo,11820
Jalisco,106207
Michoacán de Ocampo,31295
Morelos,27499
Nayarit,4866
Nuevo León,77303
Oaxaca,13721
Puebla,24189
Querétaro Arteaga,21918
Quintana Roo,29064
San Luis Potosi,20067
Sinaloa,10820
Sonora,20461
State of Mexico,189821
Tabasco,10957
Tamaulipas,22643
Tlaxcala,5224
Unknown,≤100
Veracruz,32342
Yucatán,20044
Zacatecas,7323
