Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
339506493370193,Richard Sander,Richard Saul Sander Darín,823,3
721629447857727,567 El Espacio,Sol Ines Pereyra Zunin,613,1
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,533,2
292074670808351,Frente Amplio,Frente Amplio,395,1
102652064888705,REDUY.net,REDUY,145,1
518564558675769,Vertiente Artiguista San José,Daniel Fernando Blanco D'Oliveira,≤100,1
502665456448329,Federico Barolin,These ads ran without a disclaimer,≤100,1
107756041807121,oxfam_es,These ads ran without a disclaimer,≤100,1
111009421470153,machadoh7,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
107173698926440,Rindiendo en casa,These ads ran without a disclaimer,≤100,3
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,2
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,2
131602424169035,Oxfam en Español,These ads ran without a disclaimer,≤100,1
111361091313,NICABM,These ads ran without a disclaimer,≤100,1
94199711897,Hábitat para la Humanidad,These ads ran without a disclaimer,≤100,1
223495844457800,China Plus Culture,These ads ran without a disclaimer,≤100,1
106942452264389,Fashion Globe,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
623220047870462,Amonette,These ads ran without a disclaimer,≤100,1
