Location name,Amount spent (GTQ)
Alta Verapaz Department,146
Baja Verapaz Department,≤100
Chimaltenango Department,110
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,166
Guatemala Department,17823
Huehuetenango Department,210
Izabal Department,156
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,107
Quetzaltenango Department,228
Quiché Department,149
Retalhuleu Department,≤100
Sacatepéquez Department,≤100
San Marcos Department,497
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,161
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
