Location name,Amount spent (GTQ)
Alta Verapaz Department,558
Baja Verapaz Department,133
Chimaltenango Department,339
Chiquimula Department,276
El Progreso Department,124
Escuintla Department,770
Guatemala Department,6943
Huehuetenango Department,519
Izabal Department,442
Jalapa Department,184
Jutiapa Department,282
Petén Department,294
Quetzaltenango Department,799
Quiché Department,372
Retalhuleu Department,231
Sacatepéquez Department,383
San Marcos Department,1307
Santa Rosa Department,206
Sololá Department,249
Suchitepéquez Department,386
Totonicapán Department,212
Unknown,≤100
Zacapa Department,186
