Location name,Amount spent (USD)
Azua Province,≤100
Baoruco Province,≤100
Barahona Province,≤100
Dajabón Province,≤100
Distrito Nacional,1079
Duarte Province,128
El Seibo Province,≤100
Elías Piña Province,≤100
Espaillat Province,132
Hato Mayor Province,≤100
Independencia Province,≤100
La Altagracia Province,101
La Romana Province,≤100
La Vega Province,255
María Trinidad Sánchez Province,162
Monseñor Nouel Province,110
Monte Cristi Province,156
Monte Plata Province,≤100
Pedernales Province,≤100
Peravia Province,≤100
Puerto Plata province,299
Salcedo,≤100
Samaná Province,122
San Cristóbal Province,166
San José de Ocoa Province,≤100
San Juan Province (Dominican Republic),≤100
San Pedro de Macorís Province,116
Santiago Province,651
Santiago Rodríguez Province,≤100
Santo Domingo Province,208
Sánchez Ramírez Province,≤100
Unknown,≤100
Valverde Province,139
