Location name,Amount spent (ARS)
Buenos Aires,4914802
Catamarca,295313
Chaco,129583
Chubut,893046
Ciudad Autónoma de Buenos Aires,1274322
Corrientes,155943
Córdoba,2488925
Entre Rios,2172669
Formosa,69140
Jujuy,134339
La Pampa,101739
La Rioja,118548
Mendoza,192926
Misiones,102478
Neuquén,85812
Río Negro,128344
Salta,135158
San Juan,90183
San Luis,99835
Santa Cruz,160276
Santa Fe,14489962
Santiago del Estero,104728
Tierra del Fuego,65693
Tucuman,133817
Unknown,272
