Location name,Amount spent (CLP)
Antofagasta Region,74168
Araucanía Region,232684
Arica y Parinacota Region,31232
Atacama Region,31726
Aysén Region,14536
Bío Bío Region,294963
Coquimbo Region,131404
Los Lagos Region,130766
Los Ríos Region,47758
Magallanes y la Antártica Chilena Region,73277
Maule Region,142170
O'Higgins Region,126973
Santiago Metropolitan Region,928515
Tarapacá Region,41390
Unknown,229
Valparaíso Region,234587
