Location name,Amount spent (IDR)
Aceh,3750341
Bali,2859250
Bangka–Belitung Islands,758266
Banten,4873002
Bengkulu,1436739
Central Java,18740437
Central Kalimantan,1299287
Central Sulawesi,1693041
East Java,15073223
East Kalimantan,3692331
East Nusa Tenggara,3104085
Gorontalo,1179458
Jakarta,17685137
Jambi,1581424
Lampung,6775106
Maluku,2037914
North Kalimantan,686212
North Maluku,708467
North Sulawesi,4233005
North Sumatra,6866631
Papua (province),1116929
Riau,3277011
Riau Islands Province,1547156
South Kalimantan,1590262
South Sulawesi,6775708
South Sumatra,7309178
Southeast Sulawesi,1354827
Special Region of Yogyakarta,1602612
Unknown,19318
West Java,23276980
West Kalimantan,2929442
West Nusa Tenggara,2296630
West Papua,631116
West Sulawesi,902025
West Sumatra,3941221
