Location name,Amount spent (JPY)
Aichi Prefecture,35753
Akita Prefecture,2724
Aomori Prefecture,4023
Chiba Prefecture,30901
Ehime Prefecture,4139
Fukui Prefecture,2516
Fukuoka Prefecture,56332
Fukushima Prefecture,5788
Gifu Prefecture,6774
Gunma Prefecture,14868
Hiroshima Prefecture,10760
Hokkaido,23363
Hyōgo Prefecture,29527
Ibaraki Prefecture,8260
Ishikawa Prefecture,3712
Iwate Prefecture,3098
Kagawa Prefecture,5457
Kagoshima Prefecture,5107
Kanagawa Prefecture,58335
Kumamoto Prefecture,9819
Kyoto Prefecture,14986
Kōchi Prefecture,1976
Mie Prefecture,8056
Miyagi Prefecture,14077
Miyazaki Prefecture,3512
Nagano Prefecture,7123
Nagasaki Prefecture,5610
Nara Prefecture,4528
Niigata Prefecture,6475
Okayama Prefecture,6180
Okinawa Prefecture,5944
Osaka Prefecture,46405
Saga Prefecture,3760
Saitama Prefecture,27423
Shiga Prefecture,5978
Shimane Prefecture,2211
Shizuoka Prefecture,13059
Tochigi Prefecture,7124
Tokushima Prefecture,2075
Tokyo,93138
Tottori Prefecture,1724
Toyama Prefecture,3567
Unknown,≤100
Wakayama Prefecture,4118
Yamagata Prefecture,3118
Yamaguchi Prefecture,4306
Yamanashi Prefecture,4254
Ōita Prefecture,7439
