Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,293
Apurímac Region,≤100
Arequipa Region,296
Ayacucho Region,167
Cajamarca Region,266
Callao,300
Cusco Region,323
Huancavelica Region,≤100
Huánuco Region,146
Ica Region,227
Junín Region,280
La Libertad Region,645
Lambayeque Region,340
Lima Region,2154
Loreto Region,244
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,488
Puno Region,331
San Martín Region,223
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,151
Unknown,≤100
