Location name,Amount spent (JPY)
Aichi Prefecture,53952
Akita Prefecture,1937
Aomori Prefecture,1774
Chiba Prefecture,11676
Ehime Prefecture,2165
Fukui Prefecture,1756
Fukuoka Prefecture,68922
Fukushima Prefecture,2637
Gifu Prefecture,3227
Gunma Prefecture,2938
Hiroshima Prefecture,5232
Hokkaido,9500
Hyōgo Prefecture,14011
Ibaraki Prefecture,5083
Ishikawa Prefecture,2284
Iwate Prefecture,1906
Kagawa Prefecture,1955
Kagoshima Prefecture,2503
Kanagawa Prefecture,24380
Kumamoto Prefecture,4145
Kyoto Prefecture,6762
Kōchi Prefecture,1086
Mie Prefecture,3231
Miyagi Prefecture,10850
Miyazaki Prefecture,2119
Nagano Prefecture,4072
Nagasaki Prefecture,5440
Nara Prefecture,2821
Niigata Prefecture,3335
Okayama Prefecture,5526
Okinawa Prefecture,6178
Osaka Prefecture,20520
Saga Prefecture,2795
Saitama Prefecture,11785
Shiga Prefecture,2631
Shimane Prefecture,1271
Shizuoka Prefecture,9562
Tochigi Prefecture,2918
Tokushima Prefecture,1254
Tokyo,55288
Tottori Prefecture,970
Toyama Prefecture,1646
Unknown,≤100
Wakayama Prefecture,1588
Yamagata Prefecture,1838
Yamaguchi Prefecture,2944
Yamanashi Prefecture,1879
Ōita Prefecture,3004
