Location name,Amount spent (COP)
Amazonas,333
Antioquia,2872968
Arauca,20947
Atlantico,587033
Bolivar,69263
Boyaca,33499
Caldas,322029
Caqueta,9154
Casanare,75698
Cauca,255735
Cesar,64654
Choco,64750
Cordoba,77544
Cundinamarca,393559
Distrito Especial,757621
Guainia,135
Guaviare,27852
Huila,179215
La Guajira,16373
Magdalena,84420
Meta,410057
Narino,69695
Norte de Santander,291110
Putumayo,43673
Quindio,91725
Risaralda,469447
San Andres y Providencia,1788
Santander,378185
Sucre,185448
Tolima,174631
Unknown,≤100
Valle del Cauca,2681372
Vaupes,102
Vichada,178
