Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,433
Bicol Region,2346
Cagayan Valley,1765
Calabarzon,10918
Caraga,962
Central Luzon,6862
Central Visayas,4507
Cordillera Administrative Region,846
Davao Region,2099
Eastern Visayas,1911
Ilocos Region,2403
Metro Manila,18398
Mimaropa,1608
Northern Mindanao,3543
Soccsksargen,1556
Unknown,≤100
Western Visayas,6629
Zamboanga Peninsula,2101
